Articles,Total Words,Frequency
Article1523,19,0
Article1524,20,0
Article1525,20,0
Article1526,9,0
Article1527,9,0
Article1528,12,0
Article1529,12,0
Article1530,3,0
Article1531,22,0
Article1532,21,0
Article1533,4,0
Article1534,25,0
Article1535,19,0
Article1536,19,0
Article1537,21,0
Article1538,18,0
Article1539,22,0
Article1540,18,0
Article1541,24,0
Article1542,16,0
Article1543,24,0
Article1544,21,0
Article1545,23,0
Article1546,18,0
Article1547,23,0
Article1548,18,0
Article1549,12,0
Article1550,6,0
Article1551,8,0
Article1552,2,0
Article1553,23,0
Article1554,17,0
Article1555,10,0
Article1556,20,0
Article1557,17,0
Article1558,11,0
Article1559,12,0
Article1560,19,0
Article1561,20,0
Article1562,21,0
Article1563,20,0
Article1564,17,0
Article1565,2,0
Article1566,18,0
Article1567,16,0
Article1568,27,0
Article1569,21,0
Article1570,20,0
Article1571,12,0
Article1572,18,0
Article1573,24,0
Article1574,2,0
Article1575,20,0
Article1576,23,0
Article1577,19,0
Article1578,27,0
Article1579,21,0
Article1580,26,0
Article1581,22,0
Article1582,12,0
Article1583,18,0
Article1584,10,0
Article1585,21,0
Article1586,10,0
Article1587,22,0
Article1588,10,0
Article1589,16,0
Article1590,17,0
Article1591,17,0
Article1592,24,0
Article1593,24,0
Article1594,20,0
Article1595,18,0
Article1596,15,0
Article1597,15,0
Article1598,16,0
Article1599,20,0
Article1600,17,0
Article1601,18,0
Article1602,12,0
Article1603,19,0
Article1604,24,0
Article1605,18,0
Article1606,21,0
Article1607,12,0
Article1608,18,0
Article1609,24,0
Article1610,13,0
Article1611,19,0
Article1612,15,0
Article1613,15,0
Article1614,17,0
Article1615,20,0
Article1616,17,0
Article1617,7,0
Article1618,20,0
Article1619,16,0
Article1620,22,0
Article1621,18,0
Article1622,26,0
Article1623,19,0
Article1624,20,0
Article1625,20,0
Article1626,9,0
Article1627,9,0
Article1628,12,0
Article1629,12,0
Article1630,3,0
Article1631,22,0
Article1632,21,0
Article1633,4,0
Article1634,25,0
Article1635,19,0
Article1636,19,0
Article1637,21,0
Article1638,18,0
Article1639,22,0
Article1640,18,0
Article1641,24,0
Article1642,16,0
Article1643,24,0
Article1644,21,0
Article1645,23,0
Article1646,18,0
Article1647,23,0
Article1648,18,0
Article1649,12,0
Article1650,6,0
Article1651,8,0
Article1652,2,0
Article1653,23,0
Article1654,17,0
Article1655,10,0
Article1656,20,0
Article1657,17,0
Article1658,11,0
Article1659,12,0
Article1660,19,0
Article1661,20,0
Article1662,21,0
Article1663,20,0
Article1664,17,0
Article1665,2,0
Article1666,18,0
Article1667,16,0
Article1668,27,0
Article1669,21,0
Article1670,20,0
Article1671,12,0
Article1672,18,0
Article1673,24,0
Article1674,2,0
Article1675,20,0
Article1676,23,0
Article1677,19,0
Article1678,27,0
Article1679,21,0
Article1680,26,0
Article1681,22,0
Article1682,12,0
Article1683,18,0
Article1684,10,0
Article1685,21,0
Article1686,10,0
Article1687,22,0
Article1688,10,0
Article1689,16,0
Article1690,17,0
Article1691,17,0
Article1692,24,0
Article1693,24,0
Article1694,20,0
Article1695,18,0
Article1696,15,0
Article1697,15,0
Article1698,16,0
Article1699,20,0
Article1700,17,0
Article1701,18,0
Article1702,12,0
Article1703,19,0
Article1704,24,0
Article1705,18,0
Article1706,21,0
Article1707,12,0
Article1708,18,0
Article1709,24,0
Article1710,13,0
Article1711,19,0
Article1712,15,0
Article1713,15,0
Article1714,17,0
Article1715,20,0
Article1716,17,0
Article1717,7,0
Article1718,20,0
Article1719,16,0
Article1720,22,0
Article1721,18,0
Article1722,26,0
Article1723,19,0
Article1724,20,0
Article1725,20,0
Article1726,9,0
Article1727,9,0
Article1728,12,0
Article1729,12,0
Article1730,3,0
Article1731,22,0
Article1732,21,0
Article1733,4,0
Article1734,25,0
Article1735,19,0
Article1736,19,0
Article1737,21,0
Article1738,18,0
Article1739,22,0
Article1740,18,0
Article1741,24,0
Article1742,16,0
Article1743,24,0
Article1744,21,0
Article1745,23,0
Article1746,18,0
Article1747,23,0
Article1748,18,0
Article1749,12,0
Article1750,6,0
Article1751,8,0
Article1752,2,0
Article1753,23,0
Article1754,17,0
Article1755,10,0
Article1756,20,0
Article1757,17,0
Article1758,11,0
Article1759,12,0
Article1760,19,0
Article1761,20,0
Article1762,21,0
Article1763,20,0
Article1764,17,0
Article1765,2,0
Article1766,18,0
Article1767,16,0
Article1768,27,0
Article1769,21,0
Article1770,20,0
Article1771,12,0
Article1772,18,0
Article1773,24,0
Article1774,2,0
Article1775,20,0
Article1776,23,0
Article1777,19,0
Article1778,27,0
Article1779,21,0
Article1780,26,0
Article1781,22,0
Article1782,12,0
Article1783,18,0
Article1784,10,0
Article1785,21,0
Article1786,10,0
Article1787,22,0
Article1788,10,0
Article1789,16,0
Article1790,17,0
Article1791,17,0
Article1792,24,0
Article1793,24,0
Article1794,20,0
Article1795,18,0
Article1796,15,0
Article1797,15,0
Article1798,16,0
Article1799,20,0
Article1800,17,0
Article1801,27,0
Article1802,24,0
Article1803,17,0
Article1804,21,0
Article1805,12,0
Article1806,13,0
Article1807,18,0
Article1808,12,0
Article1809,18,0
Article1810,12,0
Article1811,19,0
Article1812,24,0
Article1813,18,0
Article1814,21,0
Article1815,12,0
Article1816,18,0
Article1817,24,0
Article1818,13,0
Article1819,19,0
Article1820,15,0
Article1821,15,0
Article1822,17,0
Article1823,20,0
Article1824,17,0
Article1825,7,0
Article1826,20,0
Article1827,16,0
Article1828,22,0
Article1829,18,0
Article1830,26,0
Article1831,19,0
Article1832,20,0
Article1833,20,0
Article1834,9,0
Article1835,9,0
Article1836,12,0
Article1837,12,0
Article1838,3,0
Article1839,22,0
Article1840,21,0
Article1841,4,0
Article1842,25,0
Article1843,19,0
Article1844,19,0
Article1845,21,0
Article1846,18,0
Article1847,22,0
Article1848,18,0
Article1849,24,0
Article1850,16,0
Article1851,24,0
Article1852,21,0
Article1853,23,0
Article1854,18,0
Article1855,23,0
Article1856,18,0
Article1857,12,0
Article1858,6,0
Article1859,8,0
Article1860,2,0
Article1861,23,0
Article1862,17,0
Article1863,10,0
Article1864,20,0
Article1865,17,0
Article1866,11,0
Article1867,12,0
Article1868,19,0
Article1869,20,0
Article1870,21,0
Article1871,20,0
Article1872,17,0
Article1873,2,0
Article1874,18,0
Article1875,16,0
Article1876,27,0
Article1877,21,0
Article1878,20,0
Article1879,12,0
Article1880,18,0
Article1881,24,0
Article1882,2,0
Article1883,20,0
Article1884,23,0
Article1885,19,0
Article1886,27,0
Article1887,21,0
Article1888,26,0
Article1889,22,0
Article1890,12,0
Article1891,18,0
Article1892,10,0
Article1893,21,0
Article1894,10,0
Article1895,22,0
Article1896,10,0
Article1897,16,0
Article1898,17,0
Article1899,17,0
Article1900,24,0
Article1901,27,0
Article1902,24,0
Article1903,17,0
Article1904,21,0
Article1905,12,0
Article1906,13,0
Article1907,18,0
Article1908,12,0
Article1909,18,0
Article1910,12,0
Article1911,19,0
Article1912,24,0
Article1913,18,0
Article1914,21,0
Article1915,12,0
Article1916,18,0
Article1917,24,0
Article1918,13,0
Article1919,19,0
Article1920,15,0
Article1921,15,0
Article1922,17,0
Article1923,20,0
Article1924,17,0
Article1925,7,0
Article1926,20,0
Article1927,16,0
Article1928,22,0
Article1929,18,0
Article1930,26,0
Article1931,19,0
Article1932,20,0
Article1933,20,0
Article1934,9,0
Article1935,9,0
Article1936,12,0
Article1937,12,0
Article1938,3,0
Article1939,22,0
Article1940,21,0
Article1941,4,0
Article1942,25,0
Article1943,19,0
Article1944,19,0
Article1945,21,0
Article1946,18,0
Article1947,22,0
Article1948,18,0
Article1949,24,0
Article1950,16,0
Article1951,24,0
Article1952,21,0
Article1953,23,0
Article1954,18,0
Article1955,23,0
Article1956,18,0
Article1957,12,0
Article1958,6,0
Article1959,8,0
Article1960,2,0
Article1961,23,0
Article1962,17,0
Article1963,10,0
Article1964,20,0
Article1965,17,0
Article1966,11,0
Article1967,12,0
Article1968,19,0
Article1969,20,0
Article1970,21,0
Article1971,20,0
Article1972,17,0
Article1973,2,0
Article1974,18,0
Article1975,16,0
Article1976,27,0
Article1977,21,0
Article1978,20,0
Article1979,12,0
Article1980,18,0
Article1981,24,0
Article1982,2,0
Article1983,20,0
Article1984,23,0
Article1985,19,0
Article1986,27,0
Article1987,21,0
Article1988,26,0
Article1989,22,0
Article1990,12,0
Article1991,18,0
Article1992,10,0
Article1993,21,0
Article1994,10,0
Article1995,22,0
Article1996,10,0
Article1997,16,0
Article1998,17,0
Article1999,17,0
Article2000,24,0
Article2001,4,0
Article2002,18,0
Article2003,6,0
Article2004,12,0
Article2005,2,0
Article2006,17,0
Article2007,6,0
Article2008,13,0
Article2009,12,0
Article2010,3,0
Article2011,5,0
Article2012,12,0
Article2013,13,0
Article2014,2,0
Article2015,7,0
Article2016,12,0
Article2017,13,0
Article2018,2,0
Article2019,1,0
Article2020,15,0
Article2021,6,0
Article2022,9,0
Article2023,1,0
Article2024,3,0
Article2025,16,0
Article2026,15,0
Article2027,11,0
Article2028,1,0
Article2029,15,0
Article2030,9,0
Article2031,23,0
Article2032,16,0
Article2033,13,0
Article2034,19,0
Article2035,19,0
Article2036,4,0
Article2037,11,0
Article2038,3,0
Article2039,19,0
Article2040,13,0
Article2041,21,0
Article2042,3,0
Article2043,22,0
Article2044,2,0
Article2045,13,0
Article2046,5,0
Article2047,2,0
Article2048,7,0
Article2049,4,0
Article2050,21,0
Article2051,15,0
Article2052,1,0
Article2053,20,0
Article2054,21,0
Article2055,14,0
Article2056,6,0
Article2057,7,0
Article2058,11,0
Article2059,7,0
Article2060,8,0
Article2061,24,0
Article2062,3,0
Article2063,2,0
Article2064,13,0
Article2065,13,0
Article2066,3,0
Article2067,6,0
Article2068,21,1
Article2069,20,0
Article2070,21,0
Article2071,4,0
Article2072,17,0
Article2073,8,0
Article2074,5,0
Article2075,7,0
Article2076,8,0
Article2077,10,0
Article2078,2,0
Article2079,2,0
Article2080,1,0
Article2081,3,0
Article2082,16,0
Article2083,14,0
Article2084,6,0
Article2085,2,0
Article2086,3,0
Article2087,8,0
Article2088,2,0
Article2089,19,0
Article2090,2,0
Article2091,1,0
Article2092,7,0
Article2093,4,0
Article2094,13,0
Article2095,14,0
Article2096,6,0
Article2097,2,0
Article2098,8,0
Article2099,2,0
Article2100,3,0
Article2101,4,0
Article2102,18,0
Article2103,6,0
Article2104,12,0
Article2105,2,0
Article2106,17,0
Article2107,6,0
Article2108,13,0
Article2109,12,0
Article2110,3,0
Article2111,5,0
Article2112,12,0
Article2113,13,0
Article2114,2,0
Article2115,7,0
Article2116,12,0
Article2117,13,0
Article2118,2,0
Article2119,1,0
Article2120,15,0
Article2121,6,0
Article2122,9,0
Article2123,1,0
Article2124,3,0
Article2125,16,0
Article2126,15,0
Article2127,11,0
Article2128,1,0
Article2129,15,0
Article2130,9,0
Article2131,23,0
Article2132,16,0
Article2133,13,0
Article2134,19,0
Article2135,19,0
Article2136,4,0
Article2137,11,0
Article2138,3,0
Article2139,19,0
Article2140,13,0
Article2141,21,0
Article2142,3,0
Article2143,22,0
Article2144,2,0
Article2145,13,0
Article2146,5,0
Article2147,2,0
Article2148,7,0
Article2149,4,0
Article2150,21,0
Article2151,15,0
Article2152,1,0
Article2153,20,0
Article2154,21,0
Article2155,14,0
Article2156,6,0
Article2157,7,0
Article2158,11,0
Article2159,7,0
Article2160,8,0
Article2161,24,0
Article2162,3,0
Article2163,2,0
Article2164,13,0
Article2165,13,0
Article2166,3,0
Article2167,6,0
Article2168,21,1
Article2169,20,0
Article2170,21,0
Article2171,4,0
Article2172,17,0
Article2173,8,0
Article2174,5,0
Article2175,7,0
Article2176,8,0
Article2177,10,0
Article2178,2,0
Article2179,2,0
Article2180,1,0
Article2181,3,0
Article2182,16,0
Article2183,14,0
Article2184,6,0
Article2185,2,0
Article2186,3,0
Article2187,8,0
Article2188,2,0
Article2189,19,0
Article2190,2,0
Article2191,1,0
Article2192,7,0
Article2193,4,0
Article2194,13,0
Article2195,14,0
Article2196,6,0
Article2197,2,0
Article2198,8,0
Article2199,2,0
Article2200,3,0
Article2201,4,0
Article2202,18,0
Article2203,6,0
Article2204,12,0
Article2205,2,0
Article2206,17,0
Article2207,6,0
Article2208,13,0
Article2209,12,0
Article2210,3,0
Article2211,5,0
Article2212,12,0
Article2213,13,0
Article2214,2,0
Article2215,7,0
Article2216,12,0
Article2217,13,0
Article2218,2,0
Article2219,1,0
Article2220,15,0
Article2221,6,0
Article2222,9,0
Article2223,1,0
Article2224,3,0
Article2225,16,0
Article2226,15,0
Article2227,11,0
Article2228,1,0
Article2229,15,0
Article2230,9,0
Article2231,23,0
Article2232,16,0
Article2233,13,0
Article2234,19,0
Article2235,19,0
Article2236,4,0
Article2237,11,0
Article2238,3,0
Article2239,19,0
Article2240,13,0
Article2241,21,0
Article2242,3,0
Article2243,22,0
Article2244,2,0
Article2245,13,0
Article2246,5,0
Article2247,2,0
Article2248,7,0
Article2249,4,0
Article2250,21,0
Article2251,15,0
Article2252,1,0
Article2253,20,0
Article2254,21,0
Article2255,14,0
Article2256,6,0
Article2257,7,0
Article2258,11,0
Article2259,7,0
Article2260,8,0
Article2261,24,0
Article2262,3,0
Article2263,2,0
Article2264,13,0
Article2265,13,0
Article2266,3,0
Article2267,6,0
Article2268,21,1
Article2269,20,0
Article2270,21,0
Article2271,4,0
Article2272,17,0
Article2273,8,0
Article2274,5,0
Article2275,7,0
Article2276,8,0
Article2277,10,0
Article2278,2,0
Article2279,2,0
Article2280,1,0
Article2281,3,0
Article2282,16,0
Article2283,14,0
Article2284,6,0
Article2285,2,0
Article2286,3,0
Article2287,8,0
Article2288,2,0
Article2289,19,0
Article2290,2,0
Article2291,1,0
Article2292,7,0
Article2293,4,0
Article2294,13,0
Article2295,14,0
Article2296,6,0
Article2297,2,0
Article2298,8,0
Article2299,2,0
Article2300,3,0
Article2301,2,0
Article2302,1,0
Article2303,6,0
Article2304,20,0
Article2305,14,0
Article2306,1,0
Article2307,3,0
Article2308,10,0
Article2309,17,0
Article2310,11,0
Article2311,18,0
Article2312,24,1
Article2313,1,0
Article2314,9,0
Article2315,4,0
Article2316,7,0
Article2317,13,0
Article2318,2,0
Article2319,6,0
Article2320,8,0
Article2321,11,0
Article2322,4,0
Article2323,4,0
Article2324,3,0
Article2325,18,0
Article2326,16,0
Article2327,22,0
Article2328,19,0
Article2329,12,0
Article2330,21,1
Article2331,1,0
Article2332,2,0
Article2333,18,0
Article2334,14,0
Article2335,16,0
Article2336,6,0
Article2337,20,0
Article2338,22,0
Article2339,2,0
Article2340,1,0
Article2341,9,0
Article2342,20,0
Article2343,3,0
Article2344,4,0
Article2345,4,0
Article2346,7,0
Article2347,16,0
Article2348,14,0
Article2349,1,0
Article2350,18,0
Article2351,18,0
Article2352,3,0
Article2353,2,0
Article2354,19,0
Article2355,15,0
Article2356,6,0
Article2357,2,0
Article2358,18,0
Article2359,8,0
Article2360,10,0
Article2361,21,0
Article2362,15,0
Article2363,2,0
Article2364,23,0
Article2365,16,0
Article2366,17,0
Article2367,7,0
Article2368,5,0
Article2369,18,0
Article2370,15,0
Article2371,13,0
Article2372,4,0
Article2373,14,0
Article2374,11,0
Article2375,4,0
Article2376,11,0
Article2377,2,0
Article2378,5,0
Article2379,2,0
Article2380,12,0
Article2381,4,0
Article2382,4,0
Article2383,18,0
Article2384,6,0
Article2385,12,0
Article2386,2,0
Article2387,17,0
Article2388,6,0
Article2389,13,0
Article2390,12,0
Article2391,3,0
Article2392,5,0
Article2393,12,0
Article2394,13,0
Article2395,2,0
Article2396,7,0
Article2397,12,0
Article2398,13,0
Article2399,2,0
Article2400,1,0
Article2401,2,0
Article2402,1,0
Article2403,6,0
Article2404,20,0
Article2405,14,0
Article2406,1,0
Article2407,3,0
Article2408,10,0
Article2409,17,0
Article2410,11,0
Article2411,18,0
Article2412,24,1
Article2413,1,0
Article2414,9,0
Article2415,4,0
Article2416,7,0
Article2417,13,0
Article2418,2,0
Article2419,6,0
Article2420,8,0
Article2421,11,0
Article2422,4,0
Article2423,4,0
Article2424,3,0
Article2425,18,0
Article2426,16,0
Article2427,22,0
Article2428,19,0
Article2429,12,0
Article2430,21,1
Article2431,1,0
Article2432,2,0
Article2433,18,0
Article2434,14,0
Article2435,16,0
Article2436,6,0
Article2437,20,0
Article2438,22,0
Article2439,2,0
Article2440,1,0
Article2441,9,0
Article2442,20,0
Article2443,3,0
Article2444,4,0
Article2445,4,0
Article2446,7,0
Article2447,16,0
Article2448,14,0
Article2449,1,0
Article2450,18,0
Article2451,18,0
Article2452,3,0
Article2453,2,0
Article2454,19,0
Article2455,15,0
Article2456,6,0
Article2457,2,0
Article2458,18,0
Article2459,8,0
Article2460,10,0
Article2461,21,0
Article2462,15,0
Article2463,2,0
Article2464,23,0
Article2465,16,0
Article2466,17,0
Article2467,7,0
Article2468,5,0
Article2469,18,0
Article2470,15,0
Article2471,13,0
Article2472,4,0
Article2473,14,0
Article2474,11,0
Article2475,4,0
Article2476,11,0
Article2477,2,0
Article2478,5,0
Article2479,2,0
Article2480,12,0
Article2481,4,0
Article2482,4,0
Article2483,18,0
Article2484,6,0
Article2485,12,0
Article2486,2,0
Article2487,17,0
Article2488,6,0
Article2489,13,0
Article2490,12,0
Article2491,3,0
Article2492,5,0
Article2493,12,0
Article2494,13,0
Article2495,2,0
Article2496,7,0
Article2497,12,0
Article2498,13,0
Article2499,2,0
Article2500,1,0
Article2501,20,0
Article2502,14,0
Article2503,26,0
Article2504,21,0
Article2505,25,0
Article2506,24,0
Article2507,22,0
Article2508,16,0
Article2509,4,0
Article2510,14,0
Article2511,18,0
Article2512,17,0
Article2513,21,0
Article2514,24,0
Article2515,27,0
Article2516,6,0
Article2517,24,0
Article2518,20,0
Article2519,14,0
Article2520,24,0
Article2521,4,0
Article2522,4,0
Article2523,24,0
Article2524,17,0
Article2525,20,0
Article2526,20,0
Article2527,19,0
Article2528,26,0
Article2529,18,0
Article2530,24,0
Article2531,4,0
Article2532,10,0
Article2533,24,0
Article2534,4,0
Article2535,9,0
Article2536,20,0
Article2537,17,0
Article2538,23,0
Article2539,4,0
Article2540,14,0
Article2541,23,0
Article2542,18,0
Article2543,12,0
Article2544,18,0
Article2545,23,0
Article2546,16,0
Article2547,25,0
Article2548,24,0
Article2549,20,0
Article2550,8,0
Article2551,25,0
Article2552,22,0
Article2553,3,0
Article2554,24,0
Article2555,24,0
Article2556,24,0
Article2557,21,0
Article2558,24,0
Article2559,24,0
Article2560,10,0
Article2561,24,0
Article2562,10,0
Article2563,24,0
Article2564,24,0
Article2565,26,0
Article2566,21,0
Article2567,17,0
Article2568,20,0
Article2569,25,0
Article2570,20,0
Article2571,15,0
Article2572,17,0
Article2573,20,0
Article2574,20,0
Article2575,24,0
Article2576,26,0
Article2577,8,0
Article2578,22,0
Article2579,22,0
Article2580,18,0
Article2581,17,0
Article2582,4,0
Article2583,21,0
Article2584,16,0
Article2585,22,0
Article2586,15,0
Article2587,22,0
Article2588,25,0
Article2589,25,0
Article2590,26,0
Article2591,20,0
Article2592,10,0
Article2593,23,0
Article2594,24,0
Article2595,16,0
Article2596,21,0
Article2597,21,0
Article2598,17,0
Article2599,25,0
Article2600,11,0
Article2601,20,0
Article2602,14,0
Article2603,26,0
Article2604,21,0
Article2605,25,0
Article2606,24,0
Article2607,22,0
Article2608,16,0
Article2609,4,0
Article2610,14,0
Article2611,18,0
Article2612,17,0
Article2613,21,0
Article2614,24,0
Article2615,27,0
Article2616,6,0
Article2617,24,0
Article2618,20,0
Article2619,14,0
Article2620,24,0
Article2621,4,0
Article2622,4,0
Article2623,24,0
Article2624,17,0
Article2625,20,0
Article2626,20,0
Article2627,19,0
Article2628,26,0
Article2629,18,0
Article2630,24,0
Article2631,4,0
Article2632,10,0
Article2633,24,0
Article2634,4,0
Article2635,9,0
Article2636,20,0
Article2637,17,0
Article2638,23,0
Article2639,4,0
Article2640,14,0
Article2641,23,0
Article2642,18,0
Article2643,12,0
Article2644,18,0
Article2645,23,0
Article2646,16,0
Article2647,25,0
Article2648,24,0
Article2649,20,0
Article2650,8,0
Article2651,25,0
Article2652,22,0
Article2653,3,0
Article2654,24,0
Article2655,24,0
Article2656,24,0
Article2657,21,0
Article2658,24,0
Article2659,24,0
Article2660,10,0
Article2661,24,0
Article2662,10,0
Article2663,24,0
Article2664,24,0
Article2665,26,0
Article2666,21,0
Article2667,17,0
Article2668,20,0
Article2669,25,0
Article2670,20,0
Article2671,15,0
Article2672,17,0
Article2673,20,0
Article2674,20,0
Article2675,24,0
Article2676,26,0
Article2677,8,0
Article2678,22,0
Article2679,22,0
Article2680,18,0
Article2681,17,0
Article2682,4,0
Article2683,21,0
Article2684,16,0
Article2685,22,0
Article2686,15,0
Article2687,22,0
Article2688,25,0
Article2689,25,0
Article2690,26,0
Article2691,20,0
Article2692,10,0
Article2693,23,0
Article2694,24,0
Article2695,16,0
Article2696,21,0
Article2697,21,0
Article2698,17,0
Article2699,25,0
Article2700,11,0
Article2701,19,0
Article2702,26,0
Article2703,7,0
Article2704,21,0
Article2705,24,0
Article2706,4,0
Article2707,11,0
Article2708,25,0
Article2709,8,0
Article2710,27,0
Article2711,17,0
Article2712,20,0
Article2713,21,0
Article2714,25,0
Article2715,25,0
Article2716,21,0
Article2717,25,0
Article2718,23,0
Article2719,21,0
Article2720,16,0
Article2721,25,0
Article2722,20,0
Article2723,14,0
Article2724,26,0
Article2725,21,0
Article2726,25,0
Article2727,24,0
Article2728,22,0
Article2729,16,0
Article2730,4,0
Article2731,14,0
Article2732,18,0
Article2733,17,0
Article2734,21,0
Article2735,24,0
Article2736,27,0
Article2737,6,0
Article2738,24,0
Article2739,20,0
Article2740,14,0
Article2741,24,0
Article2742,4,0
Article2743,4,0
Article2744,24,0
Article2745,17,0
Article2746,20,0
Article2747,20,0
Article2748,19,0
Article2749,26,0
Article2750,18,0
Article2751,24,0
Article2752,4,0
Article2753,10,0
Article2754,24,0
Article2755,4,0
Article2756,9,0
Article2757,20,0
Article2758,17,0
Article2759,23,0
Article2760,4,0
Article2761,14,0
Article2762,23,0
Article2763,18,0
Article2764,12,0
Article2765,18,0
Article2766,23,0
Article2767,16,0
Article2768,25,0
Article2769,24,0
Article2770,20,0
Article2771,8,0
Article2772,25,0
Article2773,22,0
Article2774,3,0
Article2775,24,0
Article2776,24,0
Article2777,24,0
Article2778,21,0
Article2779,24,0
Article2780,24,0
Article2781,10,0
Article2782,24,0
Article2783,10,0
Article2784,24,0
Article2785,24,0
Article2786,26,0
Article2787,21,0
Article2788,17,0
Article2789,20,0
Article2790,25,0
Article2791,20,0
Article2792,15,0
Article2793,17,0
Article2794,20,0
Article2795,20,0
Article2796,24,0
Article2797,26,0
Article2798,8,0
Article2799,22,0
Article2800,22,0
Article2801,19,0
Article2802,26,0
Article2803,7,0
Article2804,21,0
Article2805,24,0
Article2806,4,0
Article2807,11,0
Article2808,25,0
Article2809,8,0
Article2810,27,0
Article2811,17,0
Article2812,20,0
Article2813,21,0
Article2814,25,0
Article2815,25,0
Article2816,21,0
Article2817,25,0
Article2818,23,0
Article2819,21,0
Article2820,16,0
Article2821,25,0
Article2822,20,0
Article2823,14,0
Article2824,26,0
Article2825,21,0
Article2826,25,0
Article2827,24,0
Article2828,22,0
Article2829,16,0
Article2830,4,0
Article2831,14,0
Article2832,18,0
Article2833,17,0
Article2834,21,0
Article2835,24,0
Article2836,27,0
Article2837,6,0
Article2838,24,0
Article2839,20,0
Article2840,14,0
Article2841,24,0
Article2842,4,0
Article2843,4,0
Article2844,24,0
Article2845,17,0
Article2846,20,0
Article2847,20,0
Article2848,19,0
Article2849,26,0
Article2850,18,0
Article2851,24,0
Article2852,4,0
Article2853,10,0
Article2854,24,0
Article2855,4,0
Article2856,9,0
Article2857,20,0
Article2858,17,0
Article2859,23,0
Article2860,4,0
Article2861,14,0
Article2862,23,0
Article2863,18,0
Article2864,12,0
Article2865,18,0
Article2866,23,0
Article2867,16,0
Article2868,25,0
Article2869,24,0
Article2870,20,0
Article2871,8,0
Article2872,25,0
Article2873,22,0
Article2874,3,0
Article2875,24,0
Article2876,24,0
Article2877,24,0
Article2878,21,0
Article2879,24,0
Article2880,24,0
Article2881,10,0
Article2882,24,0
Article2883,10,0
Article2884,24,0
Article2885,24,0
Article2886,26,0
Article2887,21,0
Article2888,17,0
Article2889,20,0
Article2890,25,0
Article2891,20,0
Article2892,15,0
Article2893,17,0
Article2894,20,0
Article2895,20,0
Article2896,24,0
Article2897,26,0
Article2898,8,0
Article2899,22,0
Article2900,22,0
Article2901,1,0
Article2902,20,1
Article2903,13,1
Article2904,18,1
Article2905,24,1
Article2906,16,0
Article2907,26,0
Article2908,25,1
Article2909,24,0
Article2910,12,1
Article2911,23,0
Article2912,20,0
Article2913,23,1
Article2914,16,1
Article2915,22,1
Article2916,21,1
Article2917,21,1
Article2918,15,0
Article2919,14,1
Article2920,22,1
Article2921,17,0
Article2922,6,1
Article2923,2,1
Article2924,19,0
Article2925,16,1
Article2926,25,1
Article2927,12,1
Article2928,9,0
Article2929,3,1
Article2930,6,1
Article2931,17,0
Article2932,27,0
Article2933,3,1
Article2934,17,0
Article2935,23,1
Article2936,9,0
Article2937,34,2
Article2938,20,1
Article2939,17,0
Article2940,27,1
Article2941,18,0
Article2942,3,1
Article2943,18,0
Article2944,18,0
Article2945,25,1
Article2946,12,1
Article2947,22,0
Article2948,17,0
Article2949,13,1
Article2950,25,1
Article2951,10,1
Article2952,26,1
Article2953,24,1
Article2954,25,1
Article2955,14,1
Article2956,19,0
Article2957,17,0
Article2958,16,0
Article2959,16,1
Article2960,29,0
Article2961,12,1
Article2962,14,1
Article2963,18,1
Article2964,11,1
Article2965,12,1
Article2966,27,1
Article2967,23,1
Article2968,26,1
Article2969,16,1
Article2970,20,1
Article2971,7,1
Article2972,11,1
Article2973,24,1
Article2974,28,1
Article2975,19,1
Article2976,9,0
Article2977,24,1
Article2978,13,1
Article2979,10,1
Article2980,15,1
Article2981,4,1
Article2982,25,1
Article2983,11,0
Article2984,24,0
Article2985,22,0
Article2986,11,1
Article2987,22,0
Article2988,22,0
Article2989,16,1
Article2990,19,1
Article2991,26,1
Article2992,13,1
Article2993,22,1
Article2994,22,1
Article2995,25,0
Article2996,9,1
Article2997,13,1
Article2998,9,0
Article2999,29,0
Article3000,24,1
